prompt_id,prompt_name,category,competitor,image_model,video_model,model_policy,run_date,status,project_id,output_url_or_path,manifest_path,settings_used,latency_minutes,estimated_cost_or_credits,usable_first_try,prompt_adherence_1_5,story_coherence_1_5,visual_quality_1_5,motion_quality_1_5,narration_audio_1_5,finishedness_1_5,editability_1_5,weighted_score_100,major_failures,notes,prompt
vg-bench-002,B2B workflow explainer,saas_explainer,InVideo AI,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""resolution"": ""720p"", ""scene_count"": 3}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Make a 15-second vertical explainer for an internal AI tool that turns sales-call transcripts into CRM updates, Linear tasks, and Slack summaries. Use 3 scenes. The tone should be calm, sharp, and credible for a startup CTO. Avoid buzzwords and avoid showing fake readable text on screens."
vg-bench-002,B2B workflow explainer,saas_explainer,VideoGen,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""resolution"": ""720p"", ""scene_count"": 3}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Make a 15-second vertical explainer for an internal AI tool that turns sales-call transcripts into CRM updates, Linear tasks, and Slack summaries. Use 3 scenes. The tone should be calm, sharp, and credible for a startup CTO. Avoid buzzwords and avoid showing fake readable text on screens."
vg-bench-002,B2B workflow explainer,saas_explainer,Runway,,,"Runway Gen-4, not ltx-2",,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""resolution"": ""720p"", ""scene_count"": 3}",,,,,,,,,,,,,Skip for strict LTX-2 eval.,"Make a 15-second vertical explainer for an internal AI tool that turns sales-call transcripts into CRM updates, Linear tasks, and Slack summaries. Use 3 scenes. The tone should be calm, sharp, and credible for a startup CTO. Avoid buzzwords and avoid showing fake readable text on screens."
vg-bench-002,B2B workflow explainer,saas_explainer,Kling AI,,,"Kling models, not ltx-2",,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""resolution"": ""720p"", ""scene_count"": 3}",,,,,,,,,,,,,Skip for strict LTX-2 eval.,"Make a 15-second vertical explainer for an internal AI tool that turns sales-call transcripts into CRM updates, Linear tasks, and Slack summaries. Use 3 scenes. The tone should be calm, sharp, and credible for a startup CTO. Avoid buzzwords and avoid showing fake readable text on screens."
vg-bench-003,Cinematic micro-story,narrative,local-video-agent,seedream-v4,ltx-2,seedream-v4 image + ltx-2 video,2026-05-02T04:49:15.146081+00:00,succeeded,4975d0ea7ed145819706ec4e3ee4bdd1,/media/4975d0ea7ed145819706ec4e3ee4bdd1/final.mp4,/Users/tanmay/Magic Hour ML role/openai_sdk_agent/outputs/4975d0ea7ed145819706ec4e3ee4bdd1/manifest.json,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""image_model"": ""seedream-v4"", ""resolution"": ""720p"", ""scene_count"": 5, ""video_model"": ""ltx-2""}",3.76,$0.086770,yes,,,,,,,,,,render_status=complete; message=Video is ready.,"Create an 18-second cinematic micro-story about a night-shift courier crossing a rain-soaked city during a blackout to deliver a small glowing device. Use 5 scenes. The mood is tense but hopeful. Keep one consistent courier, one consistent package, and one clear story arc."
vg-bench-003,Cinematic micro-story,narrative,Krea LTX-2,,ltx-2,ltx-2 text-to-video; no seedream image stage,,not_run,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""resolution"": ""720p"", ""scene_count"": 5, ""video_model"": ""ltx-2""}",,,,,,,,,,,,,Krea has an LTX-2 model page/workflow. Use this as the strict external LTX-2 UI baseline.,"Create an 18-second cinematic micro-story about a night-shift courier crossing a rain-soaked city during a blackout to deliver a small glowing device. Use 5 scenes. The mood is tense but hopeful. Keep one consistent courier, one consistent package, and one clear story arc."
vg-bench-003,Cinematic micro-story,narrative,Focal,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""resolution"": ""720p"", ""scene_count"": 5}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Create an 18-second cinematic micro-story about a night-shift courier crossing a rain-soaked city during a blackout to deliver a small glowing device. Use 5 scenes. The mood is tense but hopeful. Keep one consistent courier, one consistent package, and one clear story arc."
vg-bench-003,Cinematic micro-story,narrative,InVideo AI,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""resolution"": ""720p"", ""scene_count"": 5}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Create an 18-second cinematic micro-story about a night-shift courier crossing a rain-soaked city during a blackout to deliver a small glowing device. Use 5 scenes. The mood is tense but hopeful. Keep one consistent courier, one consistent package, and one clear story arc."
vg-bench-003,Cinematic micro-story,narrative,VideoGen,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""resolution"": ""720p"", ""scene_count"": 5}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Create an 18-second cinematic micro-story about a night-shift courier crossing a rain-soaked city during a blackout to deliver a small glowing device. Use 5 scenes. The mood is tense but hopeful. Keep one consistent courier, one consistent package, and one clear story arc."
vg-bench-003,Cinematic micro-story,narrative,Runway,,,"Runway Gen-4, not ltx-2",,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""resolution"": ""720p"", ""scene_count"": 5}",,,,,,,,,,,,,Skip for strict LTX-2 eval.,"Create an 18-second cinematic micro-story about a night-shift courier crossing a rain-soaked city during a blackout to deliver a small glowing device. Use 5 scenes. The mood is tense but hopeful. Keep one consistent courier, one consistent package, and one clear story arc."
vg-bench-003,Cinematic micro-story,narrative,Kling AI,,,"Kling models, not ltx-2",,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""resolution"": ""720p"", ""scene_count"": 5}",,,,,,,,,,,,,Skip for strict LTX-2 eval.,"Create an 18-second cinematic micro-story about a night-shift courier crossing a rain-soaked city during a blackout to deliver a small glowing device. Use 5 scenes. The mood is tense but hopeful. Keep one consistent courier, one consistent package, and one clear story arc."
vg-bench-004,Science education short,education,local-video-agent,seedream-v4,ltx-2,seedream-v4 image + ltx-2 video,2026-05-02T04:52:15.461627+00:00,succeeded,fb426655872c4a1c99e5f883af718c67,/media/fb426655872c4a1c99e5f883af718c67/final.mp4,/Users/tanmay/Magic Hour ML role/openai_sdk_agent/outputs/fb426655872c4a1c99e5f883af718c67/manifest.json,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 20, ""image_model"": ""seedream-v4"", ""resolution"": ""720p"", ""scene_count"": 4, ""video_model"": ""ltx-2""}",3.01,$0.090844,yes,,,,,,,,,,render_status=complete; message=Video is ready.,"Make a 20-second vertical educational short explaining how an mRNA vaccine teaches immune cells what to recognize. Use 4 scenes. Keep it accurate, visual, and simple enough for a high-school student. Avoid fear-based imagery and avoid medical claims beyond the basic mechanism."
vg-bench-004,Science education short,education,Krea LTX-2,,ltx-2,ltx-2 text-to-video; no seedream image stage,,not_run,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 20, ""resolution"": ""720p"", ""scene_count"": 4, ""video_model"": ""ltx-2""}",,,,,,,,,,,,,Krea has an LTX-2 model page/workflow. Use this as the strict external LTX-2 UI baseline.,"Make a 20-second vertical educational short explaining how an mRNA vaccine teaches immune cells what to recognize. Use 4 scenes. Keep it accurate, visual, and simple enough for a high-school student. Avoid fear-based imagery and avoid medical claims beyond the basic mechanism."
vg-bench-004,Science education short,education,Focal,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 20, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Make a 20-second vertical educational short explaining how an mRNA vaccine teaches immune cells what to recognize. Use 4 scenes. Keep it accurate, visual, and simple enough for a high-school student. Avoid fear-based imagery and avoid medical claims beyond the basic mechanism."
vg-bench-004,Science education short,education,InVideo AI,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 20, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Make a 20-second vertical educational short explaining how an mRNA vaccine teaches immune cells what to recognize. Use 4 scenes. Keep it accurate, visual, and simple enough for a high-school student. Avoid fear-based imagery and avoid medical claims beyond the basic mechanism."
vg-bench-004,Science education short,education,VideoGen,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 20, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Make a 20-second vertical educational short explaining how an mRNA vaccine teaches immune cells what to recognize. Use 4 scenes. Keep it accurate, visual, and simple enough for a high-school student. Avoid fear-based imagery and avoid medical claims beyond the basic mechanism."
vg-bench-004,Science education short,education,Runway,,,"Runway Gen-4, not ltx-2",,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 20, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict LTX-2 eval.,"Make a 20-second vertical educational short explaining how an mRNA vaccine teaches immune cells what to recognize. Use 4 scenes. Keep it accurate, visual, and simple enough for a high-school student. Avoid fear-based imagery and avoid medical claims beyond the basic mechanism."
vg-bench-004,Science education short,education,Kling AI,,,"Kling models, not ltx-2",,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 20, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict LTX-2 eval.,"Make a 20-second vertical educational short explaining how an mRNA vaccine teaches immune cells what to recognize. Use 4 scenes. Keep it accurate, visual, and simple enough for a high-school student. Avoid fear-based imagery and avoid medical claims beyond the basic mechanism."
vg-bench-005,Local restaurant reel,local_business,local-video-agent,seedream-v4,ltx-2,seedream-v4 image + ltx-2 video,2026-05-02T04:55:15.804636+00:00,succeeded,8c3a5d892907413097f067882da775d7,/media/8c3a5d892907413097f067882da775d7/final.mp4,/Users/tanmay/Magic Hour ML role/openai_sdk_agent/outputs/8c3a5d892907413097f067882da775d7/manifest.json,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""image_model"": ""seedream-v4"", ""resolution"": ""720p"", ""scene_count"": 4, ""video_model"": ""ltx-2""}",3.01,$0.088437,yes,,,,,,,,,,render_status=complete; message=Video is ready.,"Create a 15-second vertical reel for a small neighborhood dumpling shop preparing for dinner rush. Use 4 scenes. Make it warm, tactile, and human: steam, hands folding dumplings, the first pan sizzle, and customers picking up takeout. No visible brand names or fake text."
vg-bench-005,Local restaurant reel,local_business,Krea LTX-2,,ltx-2,ltx-2 text-to-video; no seedream image stage,,not_run,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""resolution"": ""720p"", ""scene_count"": 4, ""video_model"": ""ltx-2""}",,,,,,,,,,,,,Krea has an LTX-2 model page/workflow. Use this as the strict external LTX-2 UI baseline.,"Create a 15-second vertical reel for a small neighborhood dumpling shop preparing for dinner rush. Use 4 scenes. Make it warm, tactile, and human: steam, hands folding dumplings, the first pan sizzle, and customers picking up takeout. No visible brand names or fake text."
vg-bench-005,Local restaurant reel,local_business,Focal,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Create a 15-second vertical reel for a small neighborhood dumpling shop preparing for dinner rush. Use 4 scenes. Make it warm, tactile, and human: steam, hands folding dumplings, the first pan sizzle, and customers picking up takeout. No visible brand names or fake text."
vg-bench-005,Local restaurant reel,local_business,InVideo AI,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Create a 15-second vertical reel for a small neighborhood dumpling shop preparing for dinner rush. Use 4 scenes. Make it warm, tactile, and human: steam, hands folding dumplings, the first pan sizzle, and customers picking up takeout. No visible brand names or fake text."
vg-bench-005,Local restaurant reel,local_business,VideoGen,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Create a 15-second vertical reel for a small neighborhood dumpling shop preparing for dinner rush. Use 4 scenes. Make it warm, tactile, and human: steam, hands folding dumplings, the first pan sizzle, and customers picking up takeout. No visible brand names or fake text."
vg-bench-005,Local restaurant reel,local_business,Runway,,,"Runway Gen-4, not ltx-2",,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict LTX-2 eval.,"Create a 15-second vertical reel for a small neighborhood dumpling shop preparing for dinner rush. Use 4 scenes. Make it warm, tactile, and human: steam, hands folding dumplings, the first pan sizzle, and customers picking up takeout. No visible brand names or fake text."
vg-bench-005,Local restaurant reel,local_business,Kling AI,,,"Kling models, not ltx-2",,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 15, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict LTX-2 eval.,"Create a 15-second vertical reel for a small neighborhood dumpling shop preparing for dinner rush. Use 4 scenes. Make it warm, tactile, and human: steam, hands folding dumplings, the first pan sizzle, and customers picking up takeout. No visible brand names or fake text."
vg-bench-006,Climate nonprofit appeal,nonprofit,local-video-agent,seedream-v4,ltx-2,seedream-v4 image + ltx-2 video,2026-05-02T04:59:01.217626+00:00,succeeded,a6e53a96cf364073b9e6e653eebf5b78,/media/a6e53a96cf364073b9e6e653eebf5b78/final.mp4,/Users/tanmay/Magic Hour ML role/openai_sdk_agent/outputs/a6e53a96cf364073b9e6e653eebf5b78/manifest.json,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""image_model"": ""seedream-v4"", ""resolution"": ""720p"", ""scene_count"": 4, ""video_model"": ""ltx-2""}",3.76,$0.138895,yes,,,,,,,,,,render_status=complete; message=Video is ready.,"Make an 18-second vertical fundraising video for a nonprofit restoring urban tree canopy in overheated neighborhoods. Use 4 scenes. The tone should be grounded and hopeful, not guilt-driven. Show heat, volunteers planting trees, residents using shade, and a future greener street."
vg-bench-006,Climate nonprofit appeal,nonprofit,Krea LTX-2,,ltx-2,ltx-2 text-to-video; no seedream image stage,,not_run,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""resolution"": ""720p"", ""scene_count"": 4, ""video_model"": ""ltx-2""}",,,,,,,,,,,,,Krea has an LTX-2 model page/workflow. Use this as the strict external LTX-2 UI baseline.,"Make an 18-second vertical fundraising video for a nonprofit restoring urban tree canopy in overheated neighborhoods. Use 4 scenes. The tone should be grounded and hopeful, not guilt-driven. Show heat, volunteers planting trees, residents using shade, and a future greener street."
vg-bench-006,Climate nonprofit appeal,nonprofit,Focal,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Make an 18-second vertical fundraising video for a nonprofit restoring urban tree canopy in overheated neighborhoods. Use 4 scenes. The tone should be grounded and hopeful, not guilt-driven. Show heat, volunteers planting trees, residents using shade, and a future greener street."
vg-bench-006,Climate nonprofit appeal,nonprofit,InVideo AI,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Make an 18-second vertical fundraising video for a nonprofit restoring urban tree canopy in overheated neighborhoods. Use 4 scenes. The tone should be grounded and hopeful, not guilt-driven. Show heat, volunteers planting trees, residents using shade, and a future greener street."
vg-bench-006,Climate nonprofit appeal,nonprofit,VideoGen,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Make an 18-second vertical fundraising video for a nonprofit restoring urban tree canopy in overheated neighborhoods. Use 4 scenes. The tone should be grounded and hopeful, not guilt-driven. Show heat, volunteers planting trees, residents using shade, and a future greener street."
vg-bench-006,Climate nonprofit appeal,nonprofit,Runway,,,"Runway Gen-4, not ltx-2",,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict LTX-2 eval.,"Make an 18-second vertical fundraising video for a nonprofit restoring urban tree canopy in overheated neighborhoods. Use 4 scenes. The tone should be grounded and hopeful, not guilt-driven. Show heat, volunteers planting trees, residents using shade, and a future greener street."
vg-bench-006,Climate nonprofit appeal,nonprofit,Kling AI,,,"Kling models, not ltx-2",,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 18, ""resolution"": ""720p"", ""scene_count"": 4}",,,,,,,,,,,,,Skip for strict LTX-2 eval.,"Make an 18-second vertical fundraising video for a nonprofit restoring urban tree canopy in overheated neighborhoods. Use 4 scenes. The tone should be grounded and hopeful, not guilt-driven. Show heat, volunteers planting trees, residents using shade, and a future greener street."
vg-bench-007,Hardware founder update,founder_update,local-video-agent,seedream-v4,ltx-2,seedream-v4 image + ltx-2 video,2026-05-02T05:03:01.676277+00:00,succeeded,6f9962e191ae4f9d9401e68c51811075,/media/6f9962e191ae4f9d9401e68c51811075/final.mp4,/Users/tanmay/Magic Hour ML role/openai_sdk_agent/outputs/6f9962e191ae4f9d9401e68c51811075/manifest.json,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 14, ""image_model"": ""seedream-v4"", ""resolution"": ""720p"", ""scene_count"": 3, ""video_model"": ""ltx-2""}",4.01,$0.074460,yes,,,,,,,,,,render_status=complete; message=Video is ready.,"Create a 14-second vertical founder-update style video for a robotics startup that just got its first warehouse pilot running. Use 3 scenes. It should feel like a serious progress update, not a glossy commercial: prototype on a workbench, robot moving one box, team watching the first successful run."
vg-bench-007,Hardware founder update,founder_update,Krea LTX-2,,ltx-2,ltx-2 text-to-video; no seedream image stage,,not_run,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 14, ""resolution"": ""720p"", ""scene_count"": 3, ""video_model"": ""ltx-2""}",,,,,,,,,,,,,Krea has an LTX-2 model page/workflow. Use this as the strict external LTX-2 UI baseline.,"Create a 14-second vertical founder-update style video for a robotics startup that just got its first warehouse pilot running. Use 3 scenes. It should feel like a serious progress update, not a glossy commercial: prototype on a workbench, robot moving one box, team watching the first successful run."
vg-bench-007,Hardware founder update,founder_update,Focal,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 14, ""resolution"": ""720p"", ""scene_count"": 3}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Create a 14-second vertical founder-update style video for a robotics startup that just got its first warehouse pilot running. Use 3 scenes. It should feel like a serious progress update, not a glossy commercial: prototype on a workbench, robot moving one box, team watching the first successful run."
vg-bench-007,Hardware founder update,founder_update,InVideo AI,,,no exposed seedream-v4 or ltx-2 selector found,,skipped_model_unavailable,,,,"{""aspect_ratio"": ""9:16"", ""duration_seconds"": 14, ""resolution"": ""720p"", ""scene_count"": 3}",,,,,,,,,,,,,Skip for strict model-controlled eval. Keep only if doing product-level UX comparison.,"Create a 14-second vertical founder-update style video for a robotics startup that just got its first warehouse pilot running. Use 3 scenes. It should feel like a serious progress update, not a glossy commercial: prototype on a workbench, robot moving one box, team watching the first successful run."
